chiSquare info:
冬瓜 2.71349224717
鸡翅 2.71349224717
哈根达斯 2.71349224717
桃 2.71349224717
蚕豆 2.71349224717
桂圆 2.71349224717
柚子 2.71349224717
红烧 2.71349224717
西红柿 2.71349224717
水煮鱼 2.71349224717
琵琶 2.71349224717
蛋挞 2.71349224717
新增 2.71349224717
接待 2.71349224717
能力 2.71349224717
酒楼 2.71349224717
香菜 2.71349224717
苹果 2.71349224717
木瓜 2.71349224717
风味 2.71349224717
鳗鱼 2.71349224717
love 2.71349224717
茉莉 2.71349224717
红茶 2.71349224717
汤圆 2.71349224717
工坊 2.71349224717
红楼 2.71349224717
红豆 2.71349224717
三杯 2.71349224717
海带 2.71349224717
西洋 2.71349224717
奶 2.71349224717
加收 2.71349224717
饕餮 2.71349224717
菜肴 2.71349224717
甜点 2.71349224717
彬彬 2.71349224717
聋哑 2.71349224717
人士 2.71349224717
真诚 2.71349224717
姐妹 2.71349224717
对虾 2.71349224717
带鱼 2.71349224717
小黄 2.71349224717
香辣 2.71349224717
巴西 2.71349224717
不限量 2.71349224717
朋友 2.71349224717
聚餐 2.71349224717
理想 2.71349224717
自制 2.71349224717
莲藕 2.71349224717
鸡汤 2.71349224717
任意 2.7118912081
饮料 2.49298510684
剧院 2.43833923254
玫瑰 2.43833923254
泡汤 2.43833923254
牛奶浴 2.43833923254
琉璃 2.43833923254
巨幅 2.43833923254
婚礼 2.43833923254
展架 2.43833923254
特色产品 2.43833923254
包房 2.43833923254
vc 2.43833923254
水星 2.43833923254
视界 2.43833923254
视频 2.43833923254
旋转 2.43833923254
木马 2.43833923254
音乐盒 2.43833923254
梦想 2.43833923254
景观 2.43833923254
筹备 2.43833923254
到场 2.43833923254
递送 2.43833923254
玫瑰园 2.43833923254
宾馆 2.43833923254
贵宾卡 2.43833923254
庭园 2.43833923254
房型 2.43833923254
化妆师 2.43833923254
魔幻 2.43833923254
西游记 2.43833923254
正规 2.43833923254
全球 2.43833923254
最新电影 2.43833923254
热播 2.43833923254
从化 2.43833923254
农家 2.43833923254
果园 2.43833923254
中式 2.43833923254
龟 2.43833923254
莫泰 2.43833923254
家一 2.43833923254
住房 2.43833923254
观澜 2.43833923254
旅游文化 2.43833923254
景点门票 2.43833923254
厨房 2.43833923254
制造 2.43833923254
俄罗斯 2.43833923254
烟熏 2.43833923254
深海 2.43833923254
香槟 2.43833923254
雪糕 2.43833923254
深圳 2.43833923254
东航 2.43833923254
游轮 2.43833923254
梦幻 2.43833923254
观赏 2.43833923254
节目 2.43833923254
相机 2.43833923254
望远镜 2.43833923254
远眺 2.43833923254
保险费 2.43833923254
开阔 2.43833923254
你我 2.43833923254
视野 2.43833923254
生有 2.43833923254
单片 2.43833923254
辛苦 2.43833923254
和爱 2.43833923254
滨海 2.43833923254
金海 2.43833923254
度假酒店 2.43833923254
旅游度假 2.43833923254
海钓 2.43833923254
渔具 2.43833923254
沙滩 2.43833923254
排球 2.43833923254
篝火 2.43833923254
晚会 2.43833923254
同行 2.43833923254
租赁 2.43833923254
时间 2.43833923254
晚礼服 2.43833923254
古典 2.43833923254
旗袍 2.43833923254
伴娘 2.43833923254
疗程 2.43833923254
都市 2.43833923254
抗压 2.43833923254
小水 2.43833923254
导入 2.43833923254
护肤 2.43833923254
比赛 2.43833923254
婚纱照 2.43833923254
特辑 2.43833923254
整体 2.43833923254
实拍 2.43833923254
带子 2.43833923254
妈妈 2.43833923254
河西 2.43833923254
和平 2.43833923254
足底 2.43833923254
脏腑 2.43833923254
西式 2.43833923254
直径 2.43833923254
大成 2.43833923254
景点 2.43833923254
瑞安 2.43833923254
双人床 2.43833923254
有线 2.43833923254
大金 2.43833923254
沙发 2.43833923254
淋浴 2.43833923254
卫生间 2.43833923254
国际酒店 2.43833923254
之美 2.43833923254
当归 2.43833923254
平衡 2.43833923254
诊断 2.43833923254
饺子 2.43833923254
主食 2.43833923254
可达 2.43833923254
上品 2.43833923254
伤风 2.43833923254
感冒 2.43833923254
麻痹 2.43833923254
降脂 2.43833923254
降压 2.43833923254
药师 2.43833923254
一小 2.43833923254
咖啡馆 2.43833923254
免费看 2.43833923254
信号 2.43833923254
建设路 2.43833923254
黄色 2.43833923254
重量 2.43833923254
作品 2.43833923254
烧制 2.43833923254
星光大道 2.43833923254
啤酒 2.43833923254
后期制作 2.43833923254
动态 2.43833923254
las 2.43833923254
电子相册 2.43833923254
泳衣 2.43833923254
奉献 2.43833923254
聊城 2.43833923254
休闲旅游 2.43833923254
往返 2.43833923254
国信 2.43833923254
旅行社 2.43833923254
持证 2.43833923254
导游 2.43833923254
美人 2.43833923254
